,Start,End,Twoday,Meeting,Press Conference,Minutes,Longer-Run Goals,Statement,Projection
0,2022-01-25 00:00:00,2022-01-26 00:00:00,1,Meeting,1,Current/Minutes/2022/fomcminutes20220126.pdf,Current/Longer-Run Goals/2022/monetary20220126b.htm,Current/Statement/2022/monetary20220126a1.pdf,
1,2022-03-15 00:00:00,2022-03-16 00:00:00,1,Meeting,1,Current/Minutes/2022/fomcminutes20220316.pdf,,Current/Statement/2022/monetary20220316a1.pdf,Current/Projection/2022/fomcprojtabl20220316.pdf
2,2022-05-03 00:00:00,2022-05-04 00:00:00,1,Meeting,0,,,,
3,2022-06-14 00:00:00,2022-06-15 00:00:00,1,Meeting,0,,,,
4,2022-07-26 00:00:00,2022-07-27 00:00:00,1,Meeting,0,,,,
5,2022-09-20 00:00:00,2022-09-21 00:00:00,1,Meeting,0,,,,
6,2022-11-01 00:00:00,2022-11-02 00:00:00,1,Meeting,0,,,,
7,2022-12-13 00:00:00,2022-12-14 00:00:00,1,Meeting,0,,,,
8,2021-01-26 00:00:00,2021-01-27 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20210127.pdf,Current/Longer-Run Goals/2021/monetary20210127b.htm,Current/Statement/2021/monetary20210127a1.pdf,
9,2021-03-16 00:00:00,2021-03-17 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20210317.pdf,,Current/Statement/2021/monetary20210317a1.pdf,Current/Projection/2021/fomcprojtabl20210317.pdf
10,2021-04-27 00:00:00,2021-04-28 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20210428.pdf,,Current/Statement/2021/monetary20210428a1.pdf,
11,2021-06-15 00:00:00,2021-06-16 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20210616.pdf,,Current/Statement/2021/monetary20210616a1.pdf,Current/Projection/2021/fomcprojtabl20210616.pdf
12,2021-07-27 00:00:00,2021-07-28 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20210728.pdf,,Current/Statement/2021/monetary20210728a1.pdf,
13,2021-09-21 00:00:00,2021-09-22 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20210922.pdf,,Current/Statement/2021/monetary20210922a1.pdf,Current/Projection/2021/fomcprojtabl20210922.pdf
14,2021-11-02 00:00:00,2021-11-03 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20211103.pdf,,Current/Statement/2021/monetary20211103a1.pdf,
15,2021-12-14 00:00:00,2021-12-15 00:00:00,1,Meeting,1,Current/Minutes/2021/fomcminutes20211215.pdf,,Current/Statement/2021/monetary20211215a1.pdf,Current/Projection/2021/fomcprojtabl20211215.pdf
16,2020-01-28 00:00:00,2020-01-29 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20200129.pdf,,Current/Statement/2020/monetary20200129a1.pdf,
17,2020-03-03 00:00:00,2020-03-03 00:00:00,0,unscheduled,1,,,Current/Statement/2020/monetary20200303a1.pdf,
18,2020-03-15 00:00:00,2020-03-15 00:00:00,0,unscheduled,1,Current/Minutes/2020/fomcminutes20200315.pdf,,Current/Statement/2020/monetary20200315a1.pdf,
19,2020-03-17 00:00:00,2020-03-18 00:00:00,1,cancelled,0,,,,
20,2020-03-19 00:00:00,2020-03-19 00:00:00,0,notation vote,0,,,,
21,2020-03-23 00:00:00,2020-03-23 00:00:00,0,notation vote,0,,,Current/Statement/2020/monetary20200323a1.pdf,
22,2020-03-31 00:00:00,2020-03-31 00:00:00,0,notation vote,0,,,,
23,2020-04-28 00:00:00,2020-04-29 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20200429.pdf,,Current/Statement/2020/monetary20200429a1.pdf,
24,2020-06-09 00:00:00,2020-06-10 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20200610.pdf,,Current/Statement/2020/monetary20200610a1.pdf,Current/Projection/2020/fomcprojtabl20200610.pdf
25,2020-07-28 00:00:00,2020-07-29 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20200729.pdf,,Current/Statement/2020/monetary20200729a1.pdf,
26,2020-08-27 00:00:00,2020-08-27 00:00:00,0,notation vote,0,,Current/Longer-Run Goals/2020/monetary20200827a.htm,,
27,2020-09-15 00:00:00,2020-09-16 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20200916.pdf,,Current/Statement/2020/monetary20200916a1.pdf,Current/Projection/2020/fomcprojtabl20200916.pdf
28,2020-11-04 00:00:00,2020-11-05 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20201105.pdf,,Current/Statement/2020/monetary20201105a1.pdf,
29,2020-12-15 00:00:00,2020-12-16 00:00:00,1,Meeting,1,Current/Minutes/2020/fomcminutes20201216.pdf,,Current/Statement/2020/monetary20201216a1.pdf,Current/Projection/2020/fomcprojtabl20201216.pdf
30,2019-01-29 00:00:00,2019-01-30 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20190130.pdf,Current/Longer-Run Goals/2019/monetary20190130b.htm,Current/Statement/2019/monetary20190130a1.pdf,
31,2019-03-19 00:00:00,2019-03-20 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20190320.pdf,,Current/Statement/2019/monetary20190320a1.pdf,Current/Projection/2019/fomcprojtabl20190320.pdf
32,2019-04-30 00:00:00,2019-05-01 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20190501.pdf,,Current/Statement/2019/monetary20190501a1.pdf,
33,2019-06-18 00:00:00,2019-06-19 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20190619.pdf,,Current/Statement/2019/monetary20190619a1.pdf,Current/Projection/2019/fomcprojtabl20190619.pdf
34,2019-07-30 00:00:00,2019-07-31 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20190731.pdf,,Current/Statement/2019/monetary20190731a1.pdf,
35,2019-09-17 00:00:00,2019-09-18 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20190918.pdf,,Current/Statement/2019/monetary20190918a1.pdf,Current/Projection/2019/fomcprojtabl20190918.pdf
36,2019-10-04 00:00:00,2019-10-04 00:00:00,0,unscheduled,0,,,Current/Statement/2019/monetary20191011a1.pdf,
37,2019-10-29 00:00:00,2019-10-30 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20191030.pdf,,Current/Statement/2019/monetary20191030a1.pdf,
38,2019-12-10 00:00:00,2019-12-11 00:00:00,1,Meeting,1,Current/Minutes/2019/fomcminutes20191211.pdf,,Current/Statement/2019/monetary20191211a1.pdf,Current/Projection/2019/fomcprojtabl20191211.pdf
39,2018-01-30 00:00:00,2018-01-31 00:00:00,1,Meeting,0,Current/Minutes/2018/fomcminutes20180131.pdf,Current/Longer-Run Goals/2018/monetary20180131b.htm,Current/Statement/2018/monetary20180131a1.pdf,
40,2018-03-20 00:00:00,2018-03-21 00:00:00,1,Meeting,1,Current/Minutes/2018/fomcminutes20180321.pdf,,Current/Statement/2018/monetary20180321a1.pdf,Current/Projection/2018/fomcprojtabl20180321.pdf
41,2018-05-01 00:00:00,2018-05-02 00:00:00,1,Meeting,0,Current/Minutes/2018/fomcminutes20180502.pdf,,Current/Statement/2018/monetary20180502a1.pdf,
42,2018-06-12 00:00:00,2018-06-13 00:00:00,1,Meeting,1,Current/Minutes/2018/fomcminutes20180613.pdf,,Current/Statement/2018/monetary20180613a1.pdf,Current/Projection/2018/fomcprojtabl20180613.pdf
43,2018-07-31 00:00:00,2018-08-01 00:00:00,1,Meeting,0,Current/Minutes/2018/fomcminutes20180801.pdf,,Current/Statement/2018/monetary20180801a1.pdf,
